Data Set 7:Time(s),Data Set 7:Force 1(N),Data Set 7:Force 2(N),,0,,
2.16,-0.2409668,-0.1198578,0.3608246,0.7756282865,,
2.165,-0.2472534,-0.1240692,0.3713226,0.7774848995,,
2.17,-0.2409668,-0.1198578,0.3608246,0.7792890225,,
2.175,-0.2493515,-0.1177597,0.3671112,0.7811245785,,
2.18,-0.2472534,-0.115654,0.3629074,0.7829391155,,
2.185,-0.2451553,-0.1198578,0.3650131,0.784764181,,
2.19,-0.2388687,-0.1114502,0.3503189,0.7865157755,,
2.195,-0.2430649,-0.1114502,0.3545151,0.788288351,,
2.2,-0.2430649,-0.1177597,0.3608246,0.790092474,,
2.205,-0.2367783,-0.1177597,0.354538,0.791865164,,
2.21,-0.2409668,-0.128273,0.3692398,0.793711363,,
2.215,-0.2430649,-0.128273,0.3713379,0.7955680525,,
2.22,-0.2346802,-0.1072464,0.3419266,0.7972776855,,
2.225,-0.2388687,-0.1093445,0.3482132,0.7990187515,,
2.23,-0.2409668,-0.1177597,0.3587265,0.800812384,,
2.235,-0.2388687,-0.1093445,0.3482132,0.80255345,,
2.24,-0.2430649,-0.115654,0.3587189,0.8043470445,,
2.245,-0.2346802,-0.1072464,0.3419266,0.8060566775,,
2.25,-0.2304916,-0.1114502,0.3419418,0.8077663865,,
2.255,-0.2304916,-0.1009369,0.3314285,0.809423529,,
2.26,-0.2388687,-0.0904236,0.3292923,0.8110699905,,
2.265,-0.2388687,-0.1093445,0.3482132,0.8128110565,,
2.27,-0.2388687,-0.1114502,0.3503189,0.814562651,,
2.275,-0.2346802,-0.1240692,0.3587494,0.816356398,,
2.28,-0.2388687,-0.115654,0.3545227,0.8181290115,,
2.285,-0.2409668,-0.1240692,0.365036,0.8199541915,,
2.29,-0.2472534,-0.1219635,0.3692169,0.821800276,,
2.295,-0.2430649,-0.1261673,0.3692322,0.823646437,,
2.3,-0.2409668,-0.1240692,0.365036,0.825471617,,
2.305,-0.2388687,-0.1177597,0.3566284,0.827254759,,
2.31,-0.2283936,-0.0904236,0.3188172,0.828848845,,
2.315,-0.2263031,-0.1135559,0.339859,0.83054814,,
2.32,-0.2346802,-0.1135559,0.3482361,0.8322893205,,
2.325,-0.2346802,-0.115654,0.3503342,0.8340409915,,
2.33,-0.2409668,-0.1198578,0.3608246,0.8358451145,,
2.335,-0.2367783,-0.1303787,0.367157,0.8376808995,,
2.34,-0.2409668,-0.1219635,0.3629303,0.839495551,,
2.345,-0.2451553,-0.1198578,0.3650131,0.8413206165,,
2.35,-0.2472534,-0.1114502,0.3587036,0.8431141345,,
2.355,-0.2472534,-0.1198578,0.3671112,0.8449496905,,
2.36,-0.2430649,-0.0841141,0.327179,0.8465855855,,
2.365,-0.2451553,-0.1093445,0.3544998,0.8483580845,,
2.37,-0.2472534,-0.1009369,0.3481903,0.850099036,,
2.375,-0.2409668,-0.1051407,0.3461075,0.8518295735,,
2.38,-0.2451553,-0.1177597,0.362915,0.8536441485,,
2.385,-0.2430649,-0.115654,0.3587189,0.855437743,,
2.39,-0.2367783,-0.1261673,0.3629456,0.857252471,,
2.395,-0.2346802,-0.1177597,0.3524399,0.8590146705,,
2.4,-0.2346802,-0.1198578,0.354538,0.8607873605,,
2.405,-0.2409668,-0.115654,0.3566208,0.8625704645,,
2.41,-0.2430649,-0.1177597,0.3608246,0.8643745875,,
2.415,-0.251442,-0.1198578,0.3712998,0.8662310865,,
2.42,-0.2263031,-0.1219635,0.3482666,0.8679724195,,
2.425,-0.2409668,-0.1219635,0.3629303,0.869787071,,
2.43,-0.2283936,-0.1093445,0.3377381,0.8714757615,,
2.435,-0.2388687,-0.1114502,0.3503189,0.873227356,,
2.44,-0.251442,-0.1093445,0.3607865,0.8750312885,,
2.445,-0.251442,-0.1135559,0.3649979,0.876856278,,
2.45,-0.25354,-0.115654,0.369194,0.878702248,,
2.455,-0.251442,-0.1177597,0.3692017,0.8805482565,,
2.46,-0.2451553,-0.0799103,0.3250656,0.8821735845,,
2.465,-0.2430649,-0.0946274,0.3376923,0.883862046,,
2.47,-0.2409668,-0.1051407,0.3461075,0.8855925835,,
2.475,-0.2472534,-0.1135559,0.3608093,0.88739663,,
2.48,-0.2388687,-0.1093445,0.3482132,0.889137696,,
2.485,-0.2430649,-0.115654,0.3587189,0.8909312905,,
2.49,-0.2367783,-0.1135559,0.3503342,0.8926829615,,
2.495,-0.2388687,-0.1219635,0.3608322,0.8944871225,,
2.5,-0.2409668,-0.1177597,0.3587265,0.896280755,,
2.505,-0.2430649,-0.1240692,0.3671341,0.8981164255,,
2.51,-0.2409668,-0.1114502,0.352417,0.8998785105,,
2.515,-0.2430649,-0.1135559,0.3566208,0.9016616145,,
2.52,-0.2409668,-0.0862198,0.3271866,0.9032975475,,
2.525,-0.2388687,-0.0988312,0.3376999,0.904986047,,
2.53,-0.2388687,-0.1114502,0.3503189,0.9067376415,,
2.535,-0.2430649,-0.115654,0.3587189,0.908531236,,
2.54,-0.2409668,-0.1177597,0.3587265,0.9103248685,,
2.545,-0.2493515,-0.1219635,0.371315,0.9121814435,,
2.55,-0.2493515,-0.1219635,0.371315,0.9140380185,,
2.555,-0.2430649,-0.1240692,0.3671341,0.915873689,,
2.56,-0.2493515,-0.0862198,0.3355713,0.9175515455,,
2.565,-0.2430649,-0.0967331,0.339798,0.9192505355,,
2.57,-0.2388687,-0.1051407,0.3440094,0.9209705825,,
2.575,-0.2409668,-0.1114502,0.352417,0.9227326675,,
2.58,-0.2430649,-0.115654,0.3587189,0.924526262,,
2.585,-0.2367783,-0.1114502,0.3482285,0.9262674045,,
2.59,-0.2409668,-0.1198578,0.3608246,0.9280715275,,
2.595,-0.2430649,-0.1135559,0.3566208,0.9298546315,,
2.6,-0.2346802,-0.1219635,0.3566437,0.93163785,,
2.605,-0.2430649,-0.115654,0.3587189,0.9334314445,,
2.61,-0.2388687,-0.1009369,0.3398056,0.9351304725,,
2.615,-0.2346802,-0.103035,0.3377152,0.9368190485,,
2.62,-0.2367783,-0.1072464,0.3440247,0.938539172,,
2.625,-0.2430649,-0.1177597,0.3608246,0.940343295,,
2.63,-0.2367783,-0.1177597,0.354538,0.942115985,,
2.635,-0.2325897,-0.1219635,0.3545532,0.943888751,,
2.64,-0.2409668,-0.1240692,0.365036,0.945713931,,
2.645,-0.2388687,-0.1219635,0.3608322,0.947518092,,
2.65,-0.2367783,-0.128273,0.3650513,0.9493433485,,
2.655,-0.2367783,-0.1240692,0.3608475,0.951147586,,
2.66,-0.2451553,-0.1240692,0.3692245,0.9529937085,,
2.665,-0.2367783,-0.1198578,0.3566361,0.954776889,,
2.67,-0.2325897,-0.0799103,0.3125,0.956339389,,
2.675,-0.2346802,-0.1072464,0.3419266,0.958049022,,
2.68,-0.2367783,-0.1093445,0.3461228,0.959779636,,
2.685,-0.2409668,-0.1114502,0.352417,0.961541721,,
2.69,-0.2388687,-0.1219635,0.3608322,0.963345882,,
2.695,-0.2367783,-0.115654,0.3524323,0.9651080435,,
2.7,-0.2409668,-0.1177597,0.3587265,0.966901676,,
2.705,-0.2451553,-0.1219635,0.3671188,0.96873727,,
2.71,-0.2388687,-0.1303787,0.3692474,0.970583507,,
2.715,-0.2388687,-0.1198578,0.3587265,0.9723771395,,
2.72,-0.2430649,-0.115654,0.3587189,0.974170734,,
2.725,-0.2388687,-0.1261673,0.365036,0.975995914,,
2.73,-0.2304916,-0.0904236,0.3209152,0.97760049,,
2.735,-0.2304916,-0.1093445,0.3398361,0.9792996705,,
2.74,-0.224205,-0.1093445,0.3335495,0.980967418,,
2.745,-0.2283936,-0.1135559,0.3419495,0.9826771655,,
2.75,-0.2325897,-0.1177597,0.3503494,0.9844289125,,
2.755,-0.2367783,-0.1114502,0.3482285,0.986170055,,
2.76,-0.2388687,-0.1198578,0.3587265,0.9879636875,,
2.765,-0.2409668,-0.115654,0.3566208,0.9897467915,,
2.77,-0.2388687,-0.0756989,0.3145676,0.9913196295,,
2.775,-0.2346802,-0.0946274,0.3293076,0.9929661675,,
2.78,-0.2325897,-0.0988312,0.3314209,0.994623272,,
2.785,-0.2263031,-0.1072464,0.3335495,0.9962910195,,
2.79,-0.2325897,-0.1114502,0.3440399,0.998011219,,
2.795,-0.2325897,-0.1093445,0.3419342,0.99972089,,
2.8,-0.2325897,-0.1135559,0.3461456,1.001451618,,
2.805,-0.224205,-0.115654,0.339859,1.003150913,,
2.81,-0.2367783,-0.1240692,0.3608475,1.004955151,,
2.815,-0.2325897,-0.1240692,0.3566589,1.006738445,,
2.82,-0.2158203,-0.1072464,0.3230667,1.008353779,,
2.825,-0.2221069,-0.1072464,0.3293533,1.010000545,,
2.83,-0.2221069,-0.1198578,0.3419647,1.011710369,,
2.835,-0.2263031,-0.115654,0.3419571,1.013420154,,
2.84,-0.2137299,-0.1177597,0.3314896,1.015077602,,
2.845,-0.2158203,-0.1135559,0.3293762,1.016724483,,
2.85,-0.224205,-0.1114502,0.3356552,1.018402759,,
2.855,-0.2137299,-0.115654,0.3293839,1.020049679,,
2.86,-0.2221069,-0.1093445,0.3314514,1.021706936,,
2.865,-0.2200165,-0.1177597,0.3377762,1.023395817,,
2.87,-0.2200165,-0.1219635,0.34198,1.025105717,,
2.875,-0.2200165,-0.0946274,0.3146439,1.026678936,,
2.88,-0.2221069,-0.0967331,0.31884,1.028273136,,
2.885,-0.224205,-0.1114502,0.3356552,1.029951412,,
2.89,-0.2179184,-0.1093445,0.3272629,1.031587727,,
2.895,-0.2263031,-0.1093445,0.3356476,1.033265965,,
2.9,-0.2221069,-0.115654,0.3377609,1.034954769,,
2.905,-0.2200165,-0.1177597,0.3377762,1.03664365,,
2.91,-0.224205,-0.0946274,0.3188324,1.038237812,,
2.915,-0.224205,-0.1072464,0.3314514,1.039895069,,
2.92,-0.2263031,-0.1072464,0.3335495,1.041562817,,
2.925,-0.2325897,-0.1135559,0.3461456,1.043293545,,
2.93,-0.2304916,-0.115654,0.3461456,1.045024273,,
2.935,-0.2388687,-0.1093445,0.3482132,1.046765339,,
2.94,-0.2325897,-0.1135559,0.3461456,1.048496067,,
2.945,-0.2367783,-0.1177597,0.354538,1.050268757,,
2.95,-0.2325897,-0.1240692,0.3566589,1.052052051,,
2.955,-0.2304916,-0.1177597,0.3482513,1.053793308,,
2.96,-0.2283936,-0.1219635,0.3503571,1.055545093,,
2.965,-0.2388687,-0.1240692,0.3629379,1.057359783,,
2.97,-0.2388687,-0.1240692,0.3629379,1.059174472,,
2.975,-0.2367783,-0.1198578,0.3566361,1.060957653,,
2.98,-0.2304916,-0.1009369,0.3314285,1.062614795,,
2.985,-0.2367783,-0.0967331,0.3335114,1.064282352,,
2.99,-0.2367783,-0.103035,0.3398133,1.065981419,,
2.995,-0.2346802,-0.103035,0.3377152,1.067669995,,
3,-0.2367783,-0.1072464,0.3440247,1.069390118,,
3.005,-0.2367783,-0.1114502,0.3482285,1.071131261,,
3.01,-0.2388687,-0.1198578,0.3587265,1.072924893,,
3.015,-0.2346802,-0.1177597,0.3524399,1.074687093,,
3.02,-0.2325897,-0.1198578,0.3524475,1.07644933,,
3.025,-0.2367783,-0.115654,0.3524323,1.078211492,,
3.03,-0.2304916,-0.1135559,0.3440475,1.079931729,,
3.035,-0.2325897,-0.1135559,0.3461456,1.081662457,,
3.04,-0.2304916,-0.1198578,0.3503494,1.083414204,,
3.045,-0.2367783,-0.1198578,0.3566361,1.085197385,,
3.05,-0.2472534,-0.1240692,0.3713226,1.087053998,,
3.055,-0.2325897,-0.1219635,0.3545532,1.088826764,,
3.06,-0.2388687,-0.115654,0.3545227,1.090599377,,
3.065,-0.2367783,-0.1219635,0.3587418,1.092393086,,
3.07,-0.2451553,-0.1261673,0.3713226,1.094249699,,
3.075,-0.2409668,-0.1177597,0.3587265,1.096043332,,
3.08,-0.2430649,-0.1198578,0.3629227,1.097857945,,
3.085,-0.2430649,-0.0862198,0.3292847,1.099504369,,
3.09,-0.2388687,-0.0904236,0.3292923,1.10115083,,
3.095,-0.2367783,-0.1051407,0.341919,1.102860425,,
3.1,-0.2304916,-0.1093445,0.3398361,1.104559606,,
3.105,-0.2325897,-0.1135559,0.3461456,1.106290334,,
3.11,-0.2283936,-0.1219635,0.3503571,1.108042119,,
3.115,-0.2367783,-0.1261673,0.3629456,1.109856847,,
3.12,-0.2263031,-0.1009369,0.32724,1.111493047,,
3.125,-0.2263031,-0.1051407,0.3314438,1.113150266,,
3.13,-0.2283936,-0.115654,0.3440476,1.114870504,,
3.135,-0.2346802,-0.115654,0.3503342,1.116622175,,
3.14,-0.2283936,-0.1114502,0.3398438,1.118321394,,
3.145,-0.224205,-0.1114502,0.3356552,1.11999967,,
3.15,-0.2200165,-0.1114502,0.3314667,1.121657004,,
3.155,-0.2221069,-0.115654,0.3377609,1.123345808,,
3.16,-0.2200165,-0.1114502,0.3314667,1.125003142,,
3.165,-0.2200165,-0.1114502,0.3314667,1.126660475,,
3.17,-0.2137299,-0.1177597,0.3314896,1.128317923,,
3.175,-0.2200165,-0.115654,0.3356705,1.129996276,,
3.18,-0.224205,-0.1177597,0.3419647,1.131706099,,
3.185,-0.2263031,-0.1114502,0.3377533,1.133394866,,
3.19,-0.224205,-0.1135559,0.3377609,1.13508367,,
3.195,-0.2263031,-0.0799103,0.3062134,1.136614737,,
3.2,-0.2200165,-0.0904236,0.3104401,1.138166938,,
3.205,-0.224205,-0.103035,0.32724,1.139803138,,
3.21,-0.2200165,-0.0925217,0.3125382,1.141365829,,
3.215,-0.2200165,-0.103035,0.3230515,1.142981086,,
3.22,-0.2200165,-0.1114502,0.3314667,1.14463842,,
3.225,-0.2283936,-0.1093445,0.3377381,1.14632711,,
3.23,-0.224205,-0.1114502,0.3356552,1.148005386,,
3.235,-0.2283936,-0.1177597,0.3461533,1.149736153,,
3.24,-0.2200165,-0.1114502,0.3314667,1.151393486,,
3.245,-0.2200165,-0.1051407,0.3251572,1.153019272,,
3.25,-0.2179184,-0.1093445,0.3272629,1.154655587,,
3.255,-0.2221069,-0.1093445,0.3314514,1.156312844,,
3.26,-0.2283936,-0.1177597,0.3461533,1.15804361,,
3.265,-0.2179184,-0.1072464,0.3251648,1.159669434,,
3.27,-0.2179184,-0.1093445,0.3272629,1.161305749,,
3.275,-0.2053452,-0.1072464,0.3125916,1.162868707,,
3.28,-0.2200165,-0.103035,0.3230515,1.164483964,,
3.285,-0.2200165,-0.1051407,0.3251572,1.16610975,,
3.29,-0.2137299,-0.1177597,0.3314896,1.167767198,,
3.295,-0.2095337,-0.115654,0.3251877,1.169393137,,
3.3,-0.2158203,-0.1051407,0.320961,1.170997942,,
3.305,-0.2158203,-0.115654,0.3314743,1.172655313,,
3.31,-0.2200165,-0.1135559,0.3335724,1.174323175,,
3.315,-0.2283936,-0.1135559,0.3419495,1.176032923,,
3.32,-0.224205,-0.1114502,0.3356552,1.177711199,,
3.325,-0.2263031,-0.115654,0.3419571,1.179420984,,
3.33,-0.2221069,-0.0925217,0.3146286,1.180994127,,
3.335,-0.2283936,-0.1009369,0.3293305,1.18264078,,
3.34,-0.2221069,-0.1114502,0.3335571,1.184308565,,
3.345,-0.224205,-0.103035,0.32724,1.185944765,,
3.35,-0.2200165,-0.1093445,0.329361,1.18759157,,
3.355,-0.2283936,-0.1135559,0.3419495,1.189301318,,
3.36,-0.2200165,-0.1072464,0.3272629,1.190937632,,
3.365,-0.2283936,-0.1177597,0.3461533,1.192668399,,
3.37,-0.2304916,-0.1177597,0.3482513,1.194409655,,
3.375,-0.224205,-0.115654,0.339859,1.19610895,,
3.38,-0.224205,-0.115654,0.339859,1.197808245,,
3.385,-0.2158203,-0.1093445,0.3251648,1.199434069,,
3.39,-0.2200165,-0.1177597,0.3377762,1.20112295,,
3.395,-0.2200165,-0.1177597,0.3377762,1.202811831,,
3.4,-0.2200165,-0.0820084,0.3020249,1.204321956,,
3.405,-0.2221069,-0.0925217,0.3146286,1.205895099,,
3.41,-0.2263031,-0.0967331,0.3230362,1.20751028,,
3.415,-0.2304916,-0.1135559,0.3440475,1.209230517,,
3.42,-0.2221069,-0.0778046,0.2999115,1.210730075,,
3.425,-0.2200165,-0.0946274,0.3146439,1.212303294,,
3.43,-0.2263031,-0.1009369,0.32724,1.213939494,,
3.435,-0.2283936,-0.1051407,0.3335343,1.215607166,,
3.44,-0.2263031,-0.1114502,0.3377533,1.217295932,,
3.445,-0.2263031,-0.1135559,0.339859,1.218995227,,
3.45,-0.2304916,-0.0883179,0.3188095,1.220589275,,
3.455,-0.2221069,-0.0988312,0.3209381,1.222193965,,
3.46,-0.2304916,-0.1135559,0.3440475,1.223914203,,
3.465,-0.2388687,-0.1114502,0.3503189,1.225665797,,
3.47,-0.224205,-0.1198578,0.3440628,1.227386111,,
3.475,-0.224205,-0.1177597,0.3419647,1.229095935,,
3.48,-0.2304916,-0.1135559,0.3440475,1.230816172,,
3.485,-0.2346802,-0.115654,0.3503342,1.232567843,,
3.49,-0.2221069,-0.1177597,0.3398666,1.234267176,,
3.495,-0.2388687,-0.1177597,0.3566284,1.236050318,,
3.5,-0.2367783,-0.1114502,0.3482285,1.237791461,,
3.505,-0.2388687,-0.1198578,0.3587265,1.239585093,,
3.51,-0.2221069,-0.0925217,0.3146286,1.241158236,,
3.515,-0.224205,-0.103035,0.32724,1.242794436,,
3.52,-0.2221069,-0.1072464,0.3293533,1.244441203,,
3.525,-0.2283936,-0.1135559,0.3419495,1.24615095,,
3.53,-0.2346802,-0.1198578,0.354538,1.24792364,,
3.535,-0.2263031,-0.1198578,0.3461609,1.249654445,,
3.54,-0.224205,-0.1198578,0.3440628,1.251374759,,
3.545,-0.224205,-0.1114502,0.3356552,1.253053035,,
3.55,-0.2388687,-0.1114502,0.3503189,1.254804629,,
3.555,-0.2325897,-0.1177597,0.3503494,1.256556376,,
3.56,-0.2263031,-0.1177597,0.3440628,1.25827669,,
3.565,-0.224205,-0.1135559,0.3377609,1.259965495,,
3.57,-0.2346802,-0.1135559,0.3482361,1.261706675,,
3.575,-0.2304916,-0.1135559,0.3440475,1.263426913,,
3.58,-0.2325897,-0.1177597,0.3503494,1.26517866,,
3.585,-0.2346802,-0.1198578,0.354538,1.26695135,,
3.59,-0.224205,-0.1177597,0.3419647,1.268661173,,
3.595,-0.2346802,-0.1198578,0.354538,1.270433863,,
3.6,-0.2221069,-0.1093445,0.3314514,1.27209112,,
3.605,-0.2263031,-0.1114502,0.3377533,1.273779887,,
3.61,-0.224205,-0.1198578,0.3440628,1.275500201,,
3.615,-0.2221069,-0.0862198,0.3083267,1.277041834,,
3.62,-0.2304916,-0.0904236,0.3209152,1.27864641,,
3.625,-0.2283936,-0.0967331,0.3251267,1.280272044,,
3.63,-0.2283936,-0.0820084,0.310402,1.281824054,,
3.635,-0.2263031,-0.0967331,0.3230362,1.283439235,,
3.64,-0.2283936,-0.103035,0.3314286,1.285096378,,
3.645,-0.2283936,-0.1135559,0.3419495,1.286806125,,
3.65,-0.2367783,-0.1114502,0.3482285,1.288547268,,
3.655,-0.2346802,-0.1177597,0.3524399,1.290309467,,
3.66,-0.2346802,-0.0883179,0.3229981,1.291924458,,
3.665,-0.2367783,-0.1051407,0.341919,1.293634053,,
3.67,-0.2346802,-0.115654,0.3503342,1.295385724,,
3.675,-0.2367783,-0.1198578,0.3566361,1.297168904,,
3.68,-0.2346802,-0.1177597,0.3524399,1.298931104,,
3.685,-0.2304916,-0.1177597,0.3482513,1.30067236,,
3.69,-0.2325897,-0.1072464,0.3398361,1.302371541,,
3.695,-0.2388687,-0.115654,0.3545227,1.304144154,,
3.7,-0.2388687,-0.1177597,0.3566284,1.305927296,,
3.705,-0.2283936,-0.1135559,0.3419495,1.307637044,,
3.71,-0.2325897,-0.1198578,0.3524475,1.309399281,,
3.715,-0.224205,-0.1219635,0.3461685,1.311130124,,
3.72,-0.2221069,-0.0925217,0.3146286,1.312703267,,
3.725,-0.2325897,-0.0714951,0.3040848,1.314223691,,
3.73,-0.2283936,-0.0820084,0.310402,1.315775701,,
3.735,-0.2283936,-0.1009369,0.3293305,1.317422353,,
3.74,-0.2388687,-0.1072464,0.3461151,1.319152929,,
3.745,-0.2346802,-0.1072464,0.3419266,1.320862562,,
3.75,-0.224205,-0.115654,0.339859,1.322561857,,
3.755,-0.2367783,-0.1135559,0.3503342,1.324313528,,
3.76,-0.2346802,-0.115654,0.3503342,1.326065199,,
3.765,-0.2325897,-0.1072464,0.3398361,1.327764379,,
3.77,-0.2346802,-0.115654,0.3503342,1.32951605,,
3.775,-0.2367783,-0.1177597,0.354538,1.33128874,,
3.78,-0.2325897,-0.1135559,0.3461456,1.333019468,,
3.785,-0.2304916,-0.1177597,0.3482513,1.334760725,,
3.79,-0.2346802,-0.1135559,0.3482361,1.336501905,,
3.795,-0.2367783,-0.1135559,0.3503342,1.338253576,,
3.8,-0.2304916,-0.1177597,0.3482513,1.339994833,,
3.805,-0.2325897,-0.115654,0.3482437,1.341736051,,
3.81,-0.2158203,-0.0841141,0.2999344,1.343235723,,
3.815,-0.2116318,-0.0988312,0.310463,1.344788038,,
3.82,-0.2263031,-0.1093445,0.3356476,1.346466276,,
3.825,-0.2179184,-0.0736008,0.2915192,1.347923872,,
3.83,-0.2095337,-0.0946274,0.3041611,1.349444678,,
3.835,-0.2179184,-0.0988312,0.3167496,1.351028426,,
3.84,-0.224205,-0.1051407,0.3293457,1.352675154,,
3.845,-0.2263031,-0.1135559,0.339859,1.354374449,,
3.85,-0.2200165,-0.115654,0.3356705,1.356052802,,
3.855,-0.2304916,-0.1177597,0.3482513,1.357794058,,
3.86,-0.2263031,-0.1093445,0.3356476,1.359472296,,
3.865,-0.2325897,-0.115654,0.3482437,1.361213515,,
3.87,-0.2263031,-0.1114502,0.3377533,1.362902281,,
3.875,-0.2221069,-0.1198578,0.3419647,1.364612105,,
3.88,-0.224205,-0.1198578,0.3440628,1.366332419,,
3.885,-0.2283936,-0.1261673,0.3545609,1.368105223,,
3.89,-0.2116318,-0.128273,0.3399048,1.369804747,,
3.895,-0.224205,-0.1240692,0.3482742,1.371546118,,
3.9,-0.2200165,-0.1135559,0.3335724,1.37321398,,
3.905,-0.2263031,-0.1198578,0.3461609,1.374944785,,
3.91,-0.2179184,-0.1135559,0.3314743,1.376602156,,
3.915,-0.2158203,-0.115654,0.3314743,1.378259528,,
3.92,-0.2158203,-0.115654,0.3314743,1.379916899,,
3.925,-0.2200165,-0.1177597,0.3377762,1.38160578,,
3.93,-0.2221069,-0.0967331,0.31884,1.38319998,,
3.935,-0.2200165,-0.0756989,0.2957154,1.384678557,,
3.94,-0.2179184,-0.0946274,0.3125458,1.386241286,,
3.945,-0.2116318,-0.1009369,0.3125687,1.38780413,,
3.95,-0.2221069,-0.1177597,0.3398666,1.389503463,,
3.955,-0.2200165,-0.115654,0.3356705,1.391181815,,
3.96,-0.2116318,-0.1135559,0.3251877,1.392807754,,
3.965,-0.2325897,-0.1093445,0.3419342,1.394517425,,
3.97,-0.2179184,-0.1072464,0.3251648,1.396143249,,
3.975,-0.2137299,-0.1114502,0.3251801,1.397769149,,
3.98,-0.2158203,-0.1072464,0.3230667,1.399384483,,
3.985,-0.2158203,-0.1240692,0.3398895,1.40108393,,
3.99,-0.2074432,-0.1093445,0.3167877,1.402667869,,
3.995,-0.2074432,-0.115654,0.3230972,1.404283355,,
4,-0.2116318,-0.1093445,0.3209763,1.405888236,,
4.005,-0.2074432,-0.1072464,0.3146896,1.407461684,,
4.01,-0.2137299,-0.1177597,0.3314896,1.409119132,,
4.015,-0.2095337,-0.1177597,0.3272934,1.410755599,,
4.02,-0.2095337,-0.0904236,0.2999573,1.412255386,,
4.025,-0.2095337,-0.1009369,0.3104706,1.413807739,,
4.03,-0.2032471,-0.1009369,0.304184,1.415328659,,
4.035,-0.2074432,-0.1114502,0.3188934,1.416923126,,
4.04,-0.2074432,-0.0799103,0.2873535,1.418359893,,
4.045,-0.2095337,-0.0904236,0.2999573,1.41985968,,
4.05,-0.2032471,-0.0988312,0.3020783,1.421370071,,
4.055,-0.2116318,-0.103035,0.3146668,1.422943405,,
4.06,-0.2074432,-0.0988312,0.3062744,1.424474777,,
4.065,-0.2053452,-0.1093445,0.3146897,1.426048226,,
4.07,-0.2095337,-0.1135559,0.3230896,1.427663674,,
4.075,-0.2032471,-0.1114502,0.3146973,1.42923716,,
4.08,-0.2032471,-0.1072464,0.3104935,1.430789628,,
4.085,-0.2032471,-0.103035,0.3062821,1.432321038,,
4.09,-0.2116318,-0.0988312,0.310463,1.433873353,,
4.095,-0.2116318,-0.1072464,0.3188782,1.435467744,,
4.1,-0.2011566,-0.1051407,0.3062973,1.436999231,,
4.105,-0.2074432,-0.1009369,0.3083801,1.438541131,,
4.11,-0.2032471,-0.0925217,0.2957688,1.440019975,,
4.115,-0.2095337,-0.0988312,0.3083649,1.4415618,,
4.12,-0.2137299,-0.0967331,0.310463,1.443114115,,
4.125,-0.2095337,-0.0967331,0.3062668,1.444645449,,
4.13,-0.2095337,-0.1114502,0.3209839,1.446250368,,
4.135,-0.2116318,-0.1072464,0.3188782,1.447844759,,
4.14,-0.2137299,-0.0714951,0.285225,1.449270884,,
4.145,-0.2011566,-0.0883179,0.2894745,1.450718257,,
4.15,-0.2011566,-0.0946274,0.295784,1.452197177,,
4.155,-0.2137299,-0.1009369,0.3146668,1.453770511,,
4.16,-0.2116318,-0.1072464,0.3188782,1.455364902,,
4.165,-0.2137299,-0.1072464,0.3209763,1.456969783,,
4.17,-0.2137299,-0.0988312,0.3125611,1.458532589,,
4.175,-0.1990585,-0.1051407,0.3041992,1.460053585,,
4.18,-0.2095337,-0.0988312,0.3083649,1.461595409,,
4.185,-0.2095337,-0.1114502,0.3209839,1.463200329,,
4.19,-0.2074432,-0.1072464,0.3146896,1.464773777,,
4.195,-0.2032471,-0.1072464,0.3104935,1.466326244,,
4.2,-0.2011566,-0.1051407,0.3062973,1.467857731,,
4.205,-0.2032471,-0.1051407,0.3083878,1.46939967,,
4.21,-0.2053452,-0.1114502,0.3167954,1.470983647,,
4.215,-0.2053452,-0.1114502,0.3167954,1.472567624,,
4.22,-0.2116318,-0.1093445,0.3209763,1.474172505,,
4.225,-0.2053452,-0.1009369,0.3062821,1.475703916,,
4.23,-0.19487,-0.0841141,0.2789841,1.477098836,,
4.235,-0.1969681,-0.0946274,0.2915955,1.478556814,,
4.24,-0.1969681,-0.1009369,0.297905,1.480046339,,
4.245,-0.1927719,-0.1051407,0.2979126,1.481535902,,
4.25,-0.2095337,-0.0799103,0.289444,1.482983122,,
4.255,-0.2095337,-0.0904236,0.2999573,1.484482908,,
4.26,-0.2032471,-0.0967331,0.2999802,1.485982809,,
4.265,-0.2011566,-0.1009369,0.3020935,1.487493277,,
4.27,-0.2074432,-0.1114502,0.3188934,1.489087744,,
4.275,-0.2053452,-0.1114502,0.3167954,1.490671721,,
4.28,-0.2011566,-0.1135559,0.3147125,1.492245283,,
4.285,-0.2074432,-0.1051407,0.3125839,1.493808203,,
4.29,-0.2074432,-0.1093445,0.3167877,1.495392141,,
4.295,-0.2158203,-0.103035,0.3188553,1.496986418,,
4.3,-0.2095337,-0.115654,0.3251877,1.498612356,,
4.305,-0.2116318,-0.1177597,0.3293915,1.500259314,,
4.31,-0.2283936,-0.1093445,0.3377381,1.501948004,,
4.315,-0.224205,-0.1051407,0.3293457,1.503594733,,
4.32,-0.2137299,-0.0904236,0.3041535,1.5051155,,
4.325,-0.2179184,-0.1051407,0.3230591,1.506730796,,
4.33,-0.2158203,-0.1051407,0.320961,1.508335601,,
4.335,-0.2179184,-0.1051407,0.3230591,1.509950896,,
4.34,-0.2137299,-0.1093445,0.3230744,1.511566268,,
4.345,-0.224205,-0.1072464,0.3314514,1.513223525,,
